participant,stimulus,timestamp_ms,x,y,screen_w,screen_h
P01,stim_A_01.png,779,538,133,1536,738
P01,stim_A_01.png,814,536,133,1536,738
P01,stim_A_01.png,845,539,133,1536,738
P01,stim_A_01.png,877,540,134,1536,738
P01,stim_A_01.png,913,545,135,1536,738
P01,stim_A_01.png,946,546,135,1536,738
P01,stim_A_01.png,979,548,136,1536,738
P01,stim_A_01.png,1012,549,136,1536,738
P01,stim_A_01.png,1045,547,135,1536,738
P01,stim_A_01.png,12,552,137,1536,738
P01,stim_A_01.png,49,554,137,1536,738
P01,stim_A_01.png,81,554,137,1536,738
P01,stim_A_01.png,113,553,137,1536,738
P01,stim_A_01.png,148,554,137,1536,738
P01,stim_A_01.png,179,554,137,1536,738
P01,stim_A_01.png,213,555,137,1536,738
P01,stim_A_01.png,246,555,137,1536,738
P01,stim_A_01.png,280,556,137,1536,738
P01,stim_A_01.png,313,554,137,1536,738
P01,stim_A_01.png,347,551,136,1536,738
P01,stim_A_01.png,382,552,136,1536,738
P01,stim_A_01.png,414,552,137,1536,738
P01,stim_A_01.png,445,547,135,1536,738
P01,stim_A_01.png,480,546,135,1536,738
P01,stim_A_01.png,513,539,133,1536,738
P01,stim_A_01.png,546,530,131,1536,738
P01,stim_A_01.png,581,524,130,1536,738
P01,stim_A_01.png,612,521,129,1536,738
P01,stim_A_01.png,646,523,130,1536,738
P01,stim_A_01.png,681,528,131,1536,738
P01,stim_A_01.png,711,529,131,1536,738
P01,stim_A_01.png,747,530,131,1536,738
P01,stim_A_01.png,779,524,130,1536,738
P01,stim_A_01.png,812,522,129,1536,738
P01,stim_A_01.png,845,522,129,1536,738
P01,stim_A_01.png,886,501,172,1536,738
P01,stim_A_01.png,919,480,213,1536,738
P01,stim_A_01.png,953,452,250,1536,738
P01,stim_A_01.png,986,435,279,1536,738
P01,stim_A_01.png,1024,429,299,1536,738
P01,stim_A_01.png,1060,432,304,1536,738
P01,stim_A_01.png,1099,437,308,1536,738
P01,stim_B_01.png,15,676,125,1536,738
P01,stim_B_01.png,50,638,137,1536,738
P01,stim_B_01.png,84,638,132,1536,738
P01,stim_B_01.png,119,669,118,1536,738
P01,stim_B_01.png,157,708,103,1536,738
P01,stim_B_01.png,202,721,99,1536,738
P01,stim_B_01.png,238,731,95,1536,738
P01,stim_B_01.png,273,741,88,1536,738
P01,stim_B_01.png,310,687,96,1536,738
P01,stim_B_01.png,344,644,104,1536,738
P01,stim_B_01.png,380,610,111,1536,738
P01,stim_B_01.png,414,574,116,1536,738
P01,stim_B_01.png,447,555,122,1536,738
P01,stim_B_01.png,479,534,125,1536,738
P01,stim_B_01.png,511,521,129,1536,738
P01,stim_B_01.png,545,512,131,1536,738
P01,stim_B_01.png,576,503,133,1536,738
P01,stim_B_01.png,607,495,133,1536,738
P01,stim_B_01.png,640,492,133,1536,738
P01,stim_B_01.png,674,488,133,1536,738
P01,stim_B_01.png,707,491,133,1536,738
P01,stim_B_01.png,741,484,131,1536,738
P01,stim_B_01.png,773,482,129,1536,738
P01,stim_B_01.png,807,479,128,1536,738
P01,stim_B_01.png,841,475,125,1536,738
P01,stim_B_01.png,875,479,125,1536,738
P01,stim_B_01.png,909,472,122,1536,738
P01,stim_B_01.png,984,483,124,1536,738
P01,stim_B_01.png,1061,488,124,1536,738
P01,stim_B_01.png,1097,584,98,1536,738
P01,stim_B_01.png,1135,602,99,1536,738
P01,stim_B_01.png,1181,692,74,1536,738
P01,stim_B_01.png,1215,775,49,1536,738
P01,stim_B_01.png,1250,835,32,1536,738
P01,stim_B_01.png,1312,874,25,1536,738
P01,stim_B_01.png,1354,923,12,1536,738
